F Values,Generations
1009.8796073243124,0
961.5963711578542,1
901.2576155411524,2
867.2196242727994,3
835.4591744483997,4
835.3462760668207,5
797.0737135039413,6
766.6912611098185,7
750.1933273539283,8
750.1933273539283,9
750.1933273539283,10
750.1933273539283,11
745.2649554247421,12
733.2959283401175,13
733.2959283401175,14
733.2959283401175,15
733.2959283401175,16
733.2959283401175,17
733.2959283401175,18
733.2959283401175,19
733.2959283401175,20
733.2959283401175,21
733.2959283401175,22
733.2959283401175,23
733.2959283401175,24
733.2959283401175,25
733.2959283401175,26
733.2959283401175,27
733.2959283401175,28
733.2959283401175,29
